episode,total_reward,epsilon
0,-29.4200,0.99850
1,-9.7400,0.99700
2,-27.5000,0.99551
3,6.4400,0.99401
4,-26.5400,0.99252
5,-26.0600,0.99103
6,-27.5000,0.98955
7,-11.6600,0.98806
8,-27.9800,0.98658
9,-12.6200,0.98510
10,-28.4600,0.98362
11,-27.9800,0.98215
12,-28.9400,0.98067
13,-27.5000,0.97920
14,-33.2600,0.97773
15,-24.6200,0.97627
16,-27.5000,0.97480
17,-18.3800,0.97334
18,-25.1000,0.97188
19,-27.9800,0.97042
20,-32.3000,0.96897
21,-27.9800,0.96751
22,-24.6200,0.96606
23,-15.9800,0.96461
24,-10.2200,0.96317
25,-14.0600,0.96172
26,-27.9800,0.96028
27,-22.2200,0.95884
28,0.4800,0.95740
29,-27.9800,0.95597
30,-26.0600,0.95453
31,7.4000,0.95310
32,-11.6600,0.95167
33,-15.0200,0.95024
34,-27.9800,0.94882
35,-26.0600,0.94739
36,-26.5400,0.94597
37,-12.1400,0.94455
38,-19.3400,0.94314
39,1.3800,0.94172
40,-20.3000,0.94031
41,3.1400,0.93890
42,-16.4600,0.93749
43,-10.2200,0.93608
44,-26.0600,0.93468
45,-12.1400,0.93328
46,-30.8600,0.93188
47,-27.0200,0.93048
48,-12.6200,0.92908
49,-20.7800,0.92769
50,-22.2200,0.92630
51,-26.0600,0.92491
52,-17.9000,0.92352
53,-18.3800,0.92214
54,-27.5000,0.92075
55,-26.0600,0.91937
56,-23.6600,0.91799
57,-29.9000,0.91662
58,-30.3800,0.91524
59,-5.0800,0.91387
60,-12.6200,0.91250
61,-24.6200,0.91113
62,-24.1400,0.90976
63,-24.1400,0.90840
64,-28.9400,0.90704
65,-31.3400,0.90568
66,-24.1400,0.90432
67,-27.5000,0.90296
68,-25.1000,0.90161
69,-27.9800,0.90025
70,-26.0600,0.89890
71,-12.1400,0.89755
72,-27.5000,0.89621
73,8.8800,0.89486
74,-21.7400,0.89352
75,-27.0200,0.89218
76,-23.6600,0.89084
77,-24.6200,0.88951
78,-20.7800,0.88817
79,-27.9800,0.88684
80,-27.9800,0.88551
81,-16.9400,0.88418
82,-24.1400,0.88286
83,-27.9800,0.88153
84,-22.2200,0.88021
85,-22.7000,0.87889
86,-23.1800,0.87757
87,-25.1000,0.87625
88,-22.7000,0.87494
89,-24.1400,0.87363
90,-20.7800,0.87232
91,-24.6200,0.87101
92,-25.1000,0.86970
93,-13.5800,0.86840
94,3.2800,0.86709
95,-4.8400,0.86579
96,-4.0600,0.86450
97,-10.7000,0.86320
98,-24.1400,0.86190
99,7.7000,0.86061
100,-14.0600,0.85932
101,5.7000,0.85803
102,-10.2200,0.85674
103,-25.1000,0.85546
104,-27.5000,0.85418
105,-22.2200,0.85289
106,-23.1800,0.85162
107,-19.8200,0.85034
108,-11.1800,0.84906
109,-30.3800,0.84779
110,-16.4600,0.84652
111,-24.1400,0.84525
112,-26.0600,0.84398
113,-26.0600,0.84271
114,-25.1000,0.84145
115,-23.6600,0.84019
116,-2.7600,0.83893
117,-17.9000,0.83767
118,-22.7000,0.83641
119,-26.0600,0.83516
120,-25.5800,0.83390
121,-17.9000,0.83265
122,-23.6600,0.83140
123,-33.7400,0.83016
124,-22.2200,0.82891
125,-21.7400,0.82767
126,-22.2200,0.82643
127,-22.7000,0.82519
128,-12.1400,0.82395
129,-25.5800,0.82271
130,-24.1400,0.82148
131,-1.8400,0.82025
132,-23.1800,0.81902
133,-11.6600,0.81779
134,-13.5800,0.81656
135,-18.3800,0.81534
136,-27.5000,0.81411
137,-22.2200,0.81289
138,-17.4200,0.81167
139,-23.1800,0.81046
140,-11.1800,0.80924
141,-20.7800,0.80803
142,-9.7400,0.80681
143,-14.0600,0.80560
144,-14.0600,0.80440
145,-15.0200,0.80319
146,-15.9800,0.80198
147,-15.9800,0.80078
148,-19.8200,0.79958
149,-24.6200,0.79838
150,-22.7000,0.79718
151,-18.8600,0.79599
152,-15.9800,0.79479
153,-3.4600,0.79360
154,-21.7400,0.79241
155,-24.6200,0.79122
156,-23.6600,0.79004
157,-23.6600,0.78885
158,-13.1000,0.78767
159,-25.5800,0.78649
160,-19.3400,0.78531
161,8.4000,0.78413
162,-20.7800,0.78295
163,6.5200,0.78178
164,-7.8200,0.78061
165,-12.6200,0.77943
166,-21.2600,0.77827
167,-27.0200,0.77710
168,-16.4600,0.77593
169,-0.5800,0.77477
170,-25.1000,0.77361
171,-22.7000,0.77245
172,-6.8600,0.77129
173,-20.7800,0.77013
174,-19.3400,0.76897
175,-19.8200,0.76782
176,-8.7800,0.76667
177,-23.1800,0.76552
178,-24.6200,0.76437
179,-24.1400,0.76322
180,-21.7400,0.76208
181,-19.3400,0.76094
182,-21.7400,0.75980
183,-23.6600,0.75866
184,5.3400,0.75752
185,-13.1000,0.75638
186,-16.9400,0.75525
187,-24.6200,0.75411
188,-21.2600,0.75298
189,-15.0200,0.75185
190,-18.8600,0.75073
191,-12.1400,0.74960
192,-20.7800,0.74848
193,-19.3400,0.74735
194,-17.9000,0.74623
195,-12.1400,0.74511
196,-20.3000,0.74399
197,-16.4600,0.74288
198,-22.7000,0.74176
199,-19.3400,0.74065
200,-24.6200,0.73954
201,-24.1400,0.73843
202,-12.6200,0.73732
203,6.5800,0.73622
204,-16.4600,0.73511
205,-17.4200,0.73401
206,-24.6200,0.73291
